單詞,發音,釋義,例句,標籤,地點,備註
趕襯,gie ceng, 搶着辦事，含貶義,,"動詞,",,錄自《臨縣方言淺釋》
共共吊吊,gueng gueng diau diau,人的身材苗條、端正,,"形容詞,",,錄自《臨縣方言淺釋》
扢蹽,geq liau,踮起腳後跟,,"動詞,",,錄自《臨縣方言淺釋》
圪燎,geq liau2,煤炭燃燒後燒成的塊，也稱「灰渣」，「圪燎坡」就是「灰渣坡」,,"名詞,",,錄自《臨縣方言淺釋》
圪料,geq liau4,人的性格很特殊、古怪。,,"形容詞,",,錄自《臨縣方言淺釋》
圪星,geq sei,下很小的雨,,"動詞,",,錄自《臨縣方言淺釋》
圪燎, geq liau3,稍微燒下火,,"動詞,",,錄自《臨縣方言淺釋》
扢老,geq lau3,攪動,,"動詞,",,錄自《臨縣方言淺釋》
格栳,geq lau3,柳條編的器物,,"名詞,",,錄自《臨縣方言淺釋》
圪棱,geq leng2,平面上凸起的長條形物體,公路上有一道～。,"名詞,",,錄自《臨縣方言淺釋》
骨攏,gueq5 lueng3,「滾」的分音詞,,"動詞,",,錄自《臨縣方言淺釋》
骨嚨,gueq lueng1,喉嚨，「骨嚨系」就是喉嚨眼,,"名詞,",,錄自《臨縣方言淺釋》
骨嚨,gueq lueng1,耽擱,,"動詞,",,錄自《臨縣方言淺釋》
圪囊,geq nang,窩囊,,"形容詞,",,錄自《臨縣方言淺釋》
搞較,gau3 jiau4,討價還價，也說「搞」,,"動詞,",,錄自《臨縣方言淺釋》
場過,gegii,物體經過狹窄通道所產生的聲音,,"象聲詞,",,錄自《臨縣方言淺釋》
過時八沓,gu si baq taq,形容人的思想趕不上潮流，也形容人的言行落後於時代,,"動詞,",,錄自《臨縣方言淺釋》
跪流禱告,,向人磕頭認錯,,"動詞,",,錄自《臨縣方言淺釋》
圪柳獠牙,,物體彎曲不直,,"形容詞,",,錄自《臨縣方言淺釋》
圪低歪腿,,形容人的身材難看、腿腳不好,,"形容詞,",,錄自《臨縣方言淺釋》
咯吱麻葉,,形容人說話聲音尖細,,"形容詞,",,錄自《臨縣方言淺釋》
更起更落,geng qi geng laq,原原本本、從頭到尾,乃把這件事～說了一遍。,"形容詞,",,錄自《臨縣方言淺釋》
寡湯利水,gua toa lei suei,指粥或湯很稀薄,,"形容詞,",,錄自《臨縣方言淺釋》
棍槍圪欖,,泛指棍棒一類的東西,,"名詞,",,錄自《臨縣方言淺釋》
灌米湯,,用好聽的空話哄人高興,,"動詞,",,錄自《臨縣方言淺釋》
格車,geq cha,原意是植物葉片上的硬枝，引申爲行事霸道之人。,,"名詞,",,錄自《臨縣方言淺釋》
圪堆,,冒尖,,"形容詞,",,錄自《臨縣方言淺釋》
圪堆,,堆,,,,錄自《臨縣方言淺釋》
圪堆牙叉,geq duai nia ca,冒尖,,,,錄自《臨縣方言淺釋》
摜,guae,摔,把書～在地下。,"動詞,",,錄自《臨縣方言淺釋》
圪聲散搖,geq shei sae iau,本意爲人行走不穩，來回搖晃，引申爲諷刺一些人不能正確把握自己，不知天高地厚,看乃～，還不知想做甚嘞。,"形容詞,",,錄自《臨縣方言淺釋》
估劃,gu hua,盤算,,"動詞,",,錄自《臨縣方言淺釋》
各糟人,ge zao reng,發癢,,"形容詞,",,錄自《臨縣方言淺釋》
聒,gueq5,聲音大、使人難受,～人,"動詞,",,錄自《臨縣方言淺釋》
古離打董,,糊里糊塗地處理事情,,"形容詞,",,錄自《臨縣方言淺釋》
箍,,包、捆,頭上～一圪撻毛巾。,"動詞,",,錄自《臨縣方言淺釋》
箍,,緊套在東西外的圈，桶箍。,,"名詞,",,錄自《臨縣方言淺釋》
箍,,強迫、逼迫,～住教乃擔土。,"動詞,",,錄自《臨縣方言淺釋》
公勻,,喫飯很規律定時定量，有四字詞語「公公勻勻」,,"形容詞,",,錄自《臨縣方言淺釋》
槓,goa4,跑,,"動詞,",,錄自《臨縣方言淺釋》
趷蹅,geq za3,提起一條腿跨過去,,"動詞,",,錄自《臨縣方言淺釋》
